Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
F,18,5,3,6,7,5,extraverted
M,19,5,5,6,2,5,dependable
F,18,6,5,5,1,6,responsible
M,19,3,5,6,8,5,serious
F,19,5,2,3,4,3,lively
F,22,5,3,6,7,4,serious
F,17,7,4,5,5,7,extraverted
M,23,5,3,6,6,5,serious
F,19,3,4,7,7,3,serious
M,20,7,5,4,1,5,dependable
F,17,4,1,6,5,5,responsible
F,18,3,6,3,7,4,serious
M,21,6,4,3,1,7,extraverted
F,19,7,3,2,2,4,dependable
F,19,2,2,5,5,4,serious
M,18,6,3,2,3,5,dependable
M,22,4,6,6,5,4,extraverted
M,19,6,5,4,6,2,lively
M,18,2,5,4,6,1,serious
F,19,4,7,5,4,4,responsible
M,21,4,7,4,7,3,dependable
F,19,5,5,5,5,6,lively
F,19,7,6,7,4,7,dependable
F,19,5,7,7,7,6,serious
F,22,6,7,5,4,1,dependable
F,19,6,6,4,4,6,responsible
M,27,5,5,7,5,7,lively
M,17,2,7,2,6,4,dependable
F,20,6,3,4,5,1,lively
F,18,5,5,5,3,2,extraverted
F,17,5,4,4,4,2,extraverted
M,19,5,3,1,3,5,lively
M,21,5,5,2,6,4,serious
F,19,6,6,2,4,2,extraverted
F,19,5,4,4,4,5,lively
M,18,7,7,1,1,4,dependable
M,22,6,2,2,7,4,extraverted
M,20,6,6,1,5,5,serious
F,19,5,7,5,5,6,serious
M,19,4,5,5,4,5,dependable
M,21,5,3,4,6,2,responsible
F,19,5,5,4,4,5,serious
F,27,5,2,5,5,5,extraverted
F,23,6,7,3,7,6,serious
F,18,6,5,1,7,4,lively
M,25,5,5,1,3,6,extraverted
F,18,6,7,5,5,6,serious
M,21,5,6,2,7,4,responsible
F,19,3,4,7,6,5,serious
M,17,5,5,7,6,5,lively
F,20,4,5,6,6,1,responsible
M,18,6,3,1,5,5,dependable
M,22,5,2,3,6,1,serious
M,19,5,6,5,7,5,extraverted
F,18,5,5,7,6,5,extraverted
